Blog	close	week	interesting	month	between	water	business	version	side	launch	home	america	good	director	them	image	twitter	video	second	through	announced	computer	than	several	white	personal	stop	web	own	challenge	such	according	public	x	put	most	seems	nice	product	store	see	give	live	won	trump	heard	wednesday	giving	asked	quickly	pretty	really	later	being	started	job	software	am	anything	party	those	st	outside	o	high	doesn	want	says	money	questions	today	evidence	think	why	published	blog	press	until	goes	again	cool	everyone	long	list	short	text	spread	simple	m	believe	where	hit	helps	else	something	ago	rather	early	search	talk	building	future	women	washington	do	came	got	apps	even	mind	team	name	become	learn	state	major	driving	any	yesterday	game	seen	focus	changed	united	run	our	friday	recently	across	perfect	season	written	links	interview	night	fine	love	creating	few	related	lights	seem	head	attack	president	yes	no	place	probably	different	only	need	tools	office	isn	technology	behind	least	down	better	campaign	youtube	late	event	bad	amazon	ready	top	four	yet	coming	face	security	important	both	national	tv	th	mother	kid	try	after	card	app	off	stuff	then	months	days	access	decided	minutes	these	family	him	deal	machine	sure	videos	tech	takes	process	available	quite	should	away	since	half	times	may	back	life	website	well	getting	care	start	big	taking	she	bit	under	nbsp	telling	still	hour	her	include	american	e	far	hard	self	look	been	report	told	easy	windows	light	wrote	years	part	series	recent	earlier	members	find	amp	general	clear	french	weeks	almost	middle	kids	every	way	great	didn	small	york	forward	morning	its	though	always	media	used	take	another	point	little	save	please	states	happy	b	microsoft	learned	issues	against	around	design	tool	space	group	car	photos	took	board	everything	check	company	data	does	events	internet	mdash	change	site	leave	don	became	often	service	did	over	said	together	ask	share	reason	amazing	ways	michael	meeting	facebook	matter	russian	going	via	running	pictures	whether	fact	buy	update	other	keep	makes	thing	pro	email	along	using	create	official	view	myself	online	wannacry	writing	say	free	idea	ll	also	were	posted	know	working	which	called	went	sunday	anyone	left	best	each	must	step	large	com	changes	john	actually	comes	ideas	found	post	making	guy	mr	man	someone	soon	companies	help	thought	google	same	products	moment	many	son	released	course	worked	past	health	saying	million	number	use	travel	room	directly	appeared	during	popular	made	co	done	tell	real	russia	order	pay	book	center	before	me	story	experience	music	two	living	trying	feel	go	information	could	shows	show	means	problems	last	books	open	previously	looking	serious	d	basically	set	feature	private	let	word	article	without	moved	end	thinking	because	devices	very	looks	might	next	he	house	school	support	full	year	come	p	play	right	latest	city	lot	impact	james	three	us	read	mobile	black	motion	too	case	ransomware	less	former	including	results	turn	massive	hours	original	ve	doing	weekend	make	possible	mark	reading	movie	work	old	nothing	stories	kind	led	never	power	once	based	already	page	had	especially	would	call	much	k	wouldn	hope	apple	while	news	line	test	enough	art	gets	social	world	ever	things	yourself	needs	his	phone
mezzoblue	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Search Engine Roundtable	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	2	1	1	0	1	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	2	2	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	25	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guy Kawasaki	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	1	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	12	0	12	0	1	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	2	0	1	0	0	0	0	0	0	0
Engadget RSS Feed	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	2	0	4	0	0	0	0	1	2	0	0	1	1	2	0	0	1	0	0	0	2	1	2	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	3	0	1	0	1	0	1	0	1	0	0	0	3	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	1	0	2	0	1	1	1	1	0	0	1	1	0	0	2	0	1	0	0	0	1	4	0	0	0	0	1	1	2	0	2	0	2	2	0	0	0	3	0	4	2	0	0	0	0	0	0	0	0	0	0	3	0	0	1	7	0	0	1	1	1	1	1	0	0	4	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0	1	1	0	0	2	0	0	1	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	13	0	0	1	0	0	0	0	1	0	0	1	0	0	4	0	0	1	1	0	0	1	0	0	1	0	0	0	1	8	3	1	0	2	1	1	0	1	1	1	0	0	0	2	0	3	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	1	0	2	3	0	0	1	0	1	0	6	2	1	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	1	1	2	0	2	0	0	0	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	2	0	0	3	0	1	1	0	0	3	1	1	0	1	0	0	2	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	3	0	2	0	0	2	1	0	0	0	0	0	0	2	0	2	0	0	0	1	3	1	0	1	0	1	2	0	1	0	0	0	3	0	0	1	0	3	1	1	0	0	1	0	0	0	1	1	0	2	0	3	0	1	0	0	0	7	0	0	0	2	1	0	3	3	2	0	2	0	0	0	3
Gigaom	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Quick Online Tips	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	2	1	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	8	0	5	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	10	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	2	0	1	0	0	1	1	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	3	0	0	3	2	1	0	11	0	0	0	3	0	0	0	0	0	0	0	5	2	0	0	0	0	4	0	0	0	0	9	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	17	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	1	0	10	2	0	0	0	0	1	3	0	0	1	0	0	0	0	10	1	0	0	0	0	1	0	0	0	0	0	1	13	2	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	5	0	1	0	0	0	0	0
Techdirt.	1	14	3	2	6	3	6	0	13	0	2	2	10	3	37	3	9	20	5	7	1	1	34	5	3	2	7	2	11	2	20	4	41	0	8	16	18	0	8	5	12	7	1	5	9	3	2	3	8	4	4	9	7	33	1	3	2	3	11	10	25	1	3	2	2	17	20	10	7	18	4	11	16	11	1	2	22	8	8	12	2	7	8	5	1	3	2	2	19	3	14	3	5	5	9	12	18	3	2	1	2	2	2	1	27	3	12	4	32	0	6	24	4	3	19	3	1	41	0	23	1	3	7	0	10	20	0	5	2	1	0	5	1	0	2	3	2	3	11	2	3	5	3	9	0	5	101	11	3	5	37	14	7	5	11	8	13	6	26	14	5	3	5	9	7	1	1	3	6	5	0	2	10	4	12	2	0	3	0	0	7	27	0	3	14	2	16	9	11	6	6	0	25	0	11	7	0	7	3	2	1	6	2	7	23	2	16	4	4	28	26	0	18	19	8	2	5	6	9	6	5	19	0	3	20	1	5	0	4	2	6	3	0	4	38	3	5	1	2	2	7	21	12	1	6	6	6	2	2	3	11	0	5	6	3	0	7	29	4	16	2	0	3	0	79	9	3	22	8	8	9	13	12	0	5	3	1	1	1	2	2	14	8	1	3	2	10	1	0	5	3	1	0	38	8	13	3	20	8	8	4	1	21	3	8	12	6	43	30	3	7	2	9	3	2	5	6	17	24	9	20	4	2	5	11	7	2	6	35	9	8	23	3	31	3	9	1	3	3	2	3	2	2	8	8	8	5	24	32	3	16	6	52	11	4	0	8	14	2	2	12	3	4	5	6	2	16	6	0	4	12	7	6	6	1	9	2	17	5	3	5	17	5	3	24	0	3	12	2	5	3	6	2	7	33	0	1	3	2	6	2	17	1	5	3	7	2	7	11	0	4	13	10	50	3	4	9	0	6	2	13	13	16	4	8	3	2	12	0	9	4	4	5	10	4	7	0	6	13	6	8	6	2	6	1	27	0	24	2	17	11	35	9	2	14	3	21	6	1	8	21	8	1	2	0	3	7	14	6	9	4	6	2	30	3	7	8	10	3	4	3	4	12	19	10	0	17	5	4	2	0	8	2	16	7	13	1	9	10	5	3	11	3	32	6	38	6	16	1	6	1	2	25	16	3	0	7	11	6	15	9	5	21	1	3	31	2
ScienceBlogs	1	2	1	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	1	0	0	0	0	1	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	2	1	0	2	1	0	0	1	1	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	3	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	5	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	2	1	2	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	2	0	1	0	1	0	0	0	3	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0
ReadWrite	0	0	0	1	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	1	1	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	1	2	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	1	9	0	0	0	1	0	0	0	1	0	2	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	2	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	10	1	0	0	0	0	1	1	2	0	2	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	2	1	0	0	1	0	10	0	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0
Signal v. Noise - Medium	2	15	2	1	3	0	15	2	3	0	2	2	12	0	18	0	1	2	6	12	0	0	13	1	0	2	2	0	5	1	1	0	0	5	5	11	0	7	5	3	10	5	2	1	0	2	0	0	2	2	3	15	5	7	12	14	4	3	6	0	11	0	2	0	2	6	15	0	1	2	13	1	15	13	10	1	0	1	0	8	1	4	9	0	3	0	4	13	23	1	32	0	3	2	15	2	0	5	1	5	3	1	0	2	45	3	7	0	11	2	8	1	2	9	0	1	1	4	1	0	1	1	4	0	6	52	2	2	1	1	5	4	0	0	1	24	3	1	9	0	0	0	5	0	0	1	14	5	4	8	5	20	3	3	6	0	2	1	6	5	2	4	2	0	2	0	0	5	1	3	8	0	1	7	3	0	0	0	0	3	11	8	0	5	8	3	9	3	9	0	2	14	16	9	4	1	0	4	0	1	2	7	3	2	14	2	2	1	1	3	4	11	0	7	8	2	10	7	1	0	5	2	0	0	5	6	1	0	3	7	1	2	2	6	8	0	0	3	0	0	3	14	5	4	0	2	0	3	2	1	2	0	5	1	2	0	8	16	4	6	8	10	4	1	4	3	5	6	4	12	5	3	10	0	6	0	3	1	0	1	0	0	9	4	5	4	5	2	0	7	0	5	7	15	3	0	0	0	2	9	3	2	20	10	9	5	12	13	2	0	3	6	2	2	2	0	0	1	0	0	7	1	6	2	4	2	1	2	15	12	3	8	0	25	2	2	3	0	0	6	1	0	0	8	5	4	13	12	15	1	23	10	8	5	6	0	1	3	2	11	0	1	0	7	4	0	8	6	1	5	4	6	0	0	0	5	4	4	12	3	3	9	2	1	2	2	0	3	4	3	0	5	0	1	12	0	4	2	0	6	1	5	3	6	3	4	0	3	2	2	0	8	18	19	4	2	10	0	10	8	11	1	5	4	4	12	2	5	0	3	2	4	0	14	2	3	6	0	5	8	2	3	5	4	1	19	0	11	6	6	3	32	0	1	3	1	6	11	4	5	16	1	2	20	1	0	3	12	3	1	0	0	13	2	0	9	0	1	1	3	0	19	4	14	10	7	8	1	2	4	0	39	8	1	12	12	1	6	2	3	0	2	9	13	6	17	0	7	1	3	0	1	3	0	1	2	3	0	2	3	5	4	27	2	3	25	0
